PoArea,PdArea,OrdLdMi,All-In
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.31
p_oarea_CA-LA,p_darea_AZ-N,437,1214.31
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1214.86
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1210.49
p_oarea_CA-LA,p_darea_AZ-N,437,1289.15
p_oarea_CA-LA,p_darea_AZ-N,437,1289.15
p_oarea_CA-LA,p_darea_AZ-N,437,1289.15
p_oarea_CA-LA,p_darea_AZ-N,440,1288.56
p_oarea_CA-LA,p_darea_AZ-N,441,1288.56
p_oarea_CA-LA,p_darea_AZ-N,423,1273.52
p_oarea_CA-LA,p_darea_AZ-N,441,1288.56
p_oarea_CA-LA,p_darea_AZ-N,440,1289.15
p_oarea_CA-LA,p_darea_AZ-N,440,1289.15
p_oarea_CA-LA,p_darea_AZ-N,440,1293.52
p_oarea_CA-LA,p_darea_AZ-N,440,1293.52
p_oarea_CA-LA,p_darea_AZ-N,440,1297.89
p_oarea_CA-LA,p_darea_AZ-N,440,1306.63
p_oarea_CA-LA,p_darea_AZ-N,440,1306.63
p_oarea_CA-LA,p_darea_AZ-N,441,1306.63
p_oarea_CA-LA,p_darea_AZ-N,423,1273.68
p_oarea_CA-LA,p_darea_AZ-N,440,1311
p_oarea_CA-LA,p_darea_AZ-N,440,1311
p_oarea_CA-LA,p_darea_AZ-N,440,1310.4
p_oarea_CA-LA,p_darea_AZ-N,440,1310.4
p_oarea_CA-LA,p_darea_AZ-N,440,1310.4
p_oarea_CA-LA,p_darea_AZ-N,440,1310.4
p_oarea_CA-LA,p_darea_AZ-N,441,1314.77
p_oarea_CA-LA,p_darea_AZ-N,440,1319.14
p_oarea_CA-LA,p_darea_AZ-N,440,1336.61
